id,ticker,adjusted,Volume,Wap_volume,Open_price,Close_price,High_price,Low_price,Timestamp,Transactions
336,SPY,True,50642252.0,416.921,415.24,419.51,419.56,414.09,2022-08-25 04:00:00,339148
337,SPY,True,102816976.0,410.7917,419.39,405.31,419.96,405.25,2022-08-26 04:00:00,672397
338,SPY,True,65368110.0,403.5533,402.2,402.63,405.84,401.1999,2022-08-29 04:00:00,490118
339,SPY,True,85554443.0,399.0826,403.85,398.21,404.1,396.0,2022-08-30 04:00:00,610724
340,SPY,True,75752871.0,397.2118,399.93,395.18,401.24,395.04,2022-08-31 04:00:00,504189
341,SPY,True,78635284.0,393.0494,392.89,396.42,396.78,390.04,2022-09-01 04:00:00,597629
342,SPY,True,99632149.0,395.3788,400.28,392.24,401.555,390.33,2022-09-02 04:00:00,642566
343,SPY,True,76395050.0,391.2617,393.13,390.76,394.12,388.42,2022-09-06 04:00:00,559124
344,SPY,True,70764232.0,395.2707,390.43,397.78,398.59,390.2,2022-09-07 04:00:00,489055
345,SPY,True,80821681.0,398.3136,395.39,400.38,400.86,394.12,2022-09-08 04:00:00,553637
346,SPY,True,76506918.0,405.4837,402.74,406.6,407.51,402.46,2022-09-09 04:00:00,484758
347,SPY,True,69227012.0,410.1579,408.78,410.97,411.73,408.46,2022-09-12 04:00:00,491335
348,SPY,True,122922881.0,398.8397,401.83,393.1,403.1,391.92,2022-09-13 04:00:00,794560
349,SPY,True,85023747.0,393.8378,394.47,394.6,396.2,391.12,2022-09-14 04:00:00,542477
350,SPY,True,86700840.0,392.0139,392.96,390.12,395.96,388.78,2022-09-15 04:00:00,609219
351,SPY,True,103024319.0,384.6004,384.14,385.56,386.25,382.11,2022-09-16 04:00:00,673814
352,SPY,True,73278490.0,386.239,382.26,388.55,388.55,382.1784,2022-09-19 04:00:00,495869
353,SPY,True,77197482.0,384.1447,385.06,384.09,386.12,381.195,2022-09-20 04:00:00,559046
354,SPY,True,106746554.0,383.1166,386.11,377.39,389.31,377.38,2022-09-21 04:00:00,815174
355,SPY,True,89472641.0,375.3314,376.58,374.22,378.3,373.44,2022-09-22 04:00:00,634128
356,SPY,True,121656933.0,367.5728,370.58,367.95,370.62,363.29,2022-09-23 04:00:00,845102
357,SPY,True,92561244.0,365.9243,366.41,364.31,370.21,363.0299,2022-09-26 04:00:00,638376
358,SPY,True,108095972.0,364.5685,368.02,363.38,370.4,360.87,2022-09-27 04:00:00,778813
359,SPY,True,110524217.0,367.9224,364.38,370.53,372.3,362.6,2022-09-28 04:00:00,711995
360,SPY,True,112936695.0,362.804,366.81,362.79,367.11,359.7,2022-09-29 04:00:00,794132
361,SPY,True,152793243.0,360.6607,361.8,357.18,365.91,357.04,2022-09-30 04:00:00,854532
362,SPY,True,89746479.0,364.712,361.08,366.61,368.55,359.21,2022-10-03 04:00:00,622492
